"","comp1","comp2","comp3"
"X5.8",1.288,1.195,1.167
"X6_9",1.373,1.275,1.246
"X6.1_908",1.374,1.278,1.258
"X6.3",1.406,1.308,1.283
"X6.8_965_14",1.243,1.158,1.139
"X7.4_101",1.854,1.735,1.689
"X8.1_1077",2.033,1.915,1.885
"X8.5_113",1.261,1.17,1.145
"X8.6_1137_2",1.403,1.405,1.386
"X8.6_1145",2.152,1.997,1.944
"X8.9_1168",1.314,1.224,1.191
"X9_1185_13",1.473,1.41,1.372
"X9_1188",1.279,1.189,1.157
"X9.8_1290_17",1.445,1.341,1.307
"X10.1",1.347,1.253,1.251
"X10.2_134",2.636,2.445,2.38
"X10.2_135",2.284,2.128,2.071
"X10.6_1412",1.53,1.484,1.448
"X10.6_1414",1.553,1.454,1.415
"X10.9_1462",1.394,1.315,1.293
"X11_",1.758,1.66,1.646
"X11.1_148",1.442,1.417,1.401
"X11.1_149",1.892,1.802,1.771
"X11.3_153",1.446,1.383,1.353
"X11.4_153",1.333,1.263,1.239
"X11.4_154",1.358,1.279,1.276
"X11.6",1.356,1.258,1.265
"X11.7_1590",1.846,1.713,1.683
"X11.7_1597",1.39,1.319,1.309
"X11.8_1602",1.442,1.338,1.339
"X11.8_1607",1.405,1.303,1.308
"X11.9_162",1.313,1.326,1.296
"X11.9_163",1.767,1.652,1.625
"X12.1_1653",1.431,1.422,1.407
"X12.1_1661_1",1.311,1.243,1.261
"X12.1_1662",1.309,1.241,1.259
"X12.4_1716_1",1.787,1.66,1.628
"X12.6_1754",1.206,1.219,1.186
"X12.7_1765",1.2,1.251,1.22
"X12.7_1777",1.425,1.374,1.371
"X12.8_1793",1.694,1.58,1.54
"X12.9_1812",1.353,1.311,1.275
"X13.3_1882",1.525,1.658,1.623
"X13.3_1884",1.326,1.293,1.265
"X13.4_1920",1.481,1.454,1.453
"X13.6_195",1.205,1.13,1.137
"X13.7_1975",1.707,1.597,1.588
"X13.8_198",2.309,2.146,2.143
"X13.8_2004",1.439,1.335,1.305
"X13.9_2012",2.309,2.142,2.093
"X14.2_2083",1.509,1.401,1.367
"X14.3_2112",1.796,1.715,1.672
"X14.4_2122",1.232,1.144,1.115
"X14.4_2123",1.791,1.667,1.639
"X14.5_213",1.316,1.332,1.336
"X14.6_2179",1.98,1.852,1.814
"X14.7_218",1.706,1.595,1.562
"X14.7_2192",1.373,1.329,1.314
"X14.7_2195",1.216,1.183,1.162
"X14.7_2202_8",1.782,1.66,1.643
"X14.7_2205",1.712,1.621,1.58
"X14.8_2226",2.236,2.201,2.145
"X14.9_2235",1.405,1.306,1.361
"X14.9_2238",2.133,1.984,1.957
"X14.9_2251",1.231,1.232,1.278
"X15_2257",1.906,1.769,1.771
"X15_2258",1.451,1.346,1.385
"X15_2269",1.922,2.104,2.118
"X15.1_228",1.486,1.508,1.486
"X15.1_2296",1.896,1.775,1.769
"X15.1_23",1.456,1.462,1.423
"X15.2_2305",1.696,1.617,1.585
"X15.4_237",1.249,1.159,1.164
"X15.5_2403",1.339,1.279,1.292
"X15.5_2401",1.349,1.285,1.291
"X15.7_243",1.244,1.222,1.189
"X15.7_2441",1.251,1.219,1.253
"X16_253",1.879,1.762,1.715
"X16.1",2.403,2.233,2.174
"X16.2_257",1.515,1.423,1.398
"X16.3_2592",1.543,1.445,1.409
"X16.4_2636",1.878,1.779,1.752
"X16.8_2742",1.569,1.494,1.487
"X19_",1.291,1.199,1.198
"X19.4",1.516,1.45,1.466
"X5.7_846",1.105,1.186,1.213
